gene_id,log2fc,padj,comparison,source_sheet
B9J08_000397,1.167505209,0.000106689,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004971,1.161945383,0.00932734,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003337,1.16151282,0.000485908,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000690,1.159640301,0.001675652,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002577,1.158977743,5.76e-07,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002763,1.158379483,0.0034235,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000348,1.153755243,2.82e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001132,1.153198487,7.03e-06,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003955,1.1527933,0.001875789,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004551,1.149526839,0.007458497,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_003227,1.148941738,0.003045368,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000043,1.148308091,0.005530004,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001721,1.145112246,6.36e-09,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000032,1.140238408,0.002943238,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004135,1.133536067,0.002790871,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005107,1.128255748,0.000914825,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_002842,1.121847349,0.00494526,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004316,1.120148103,0.003900001,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001041,1.113519943,0.007376237,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004524,1.111695308,0.009624024,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000814,1.106923919,0.003782439,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005255,1.105090148,0.0034235,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000029,1.103844648,6.69e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004113,1.098371596,9.7e-05,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001116,1.097689995,0.004128981,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_004939,1.090402173,0.002790871,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_000071,1.088904288,0.000134038,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001480,1.088880736,1.56e-08,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_005386,1.081505886,0.002692037,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
B9J08_001008,1.075983637,0.007991935,AR0382_in_vivo_vs_AR0387_in_vivo,supp2_annot
